,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
610,1929277221.0,200779719,FOOD 4 corporation,,2019,05/08/19,20190523,USD,14780.25,5/23/19 0:00,0,,2019-05-08,2019-05-23,2019-05-23,0.0,OnTime,AllSectors,15,14780.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
611,1928652067.0,200769623,WAL-MAR llc,Retail,2019,1/20/19,20190204,USD,1235.26,1/31/19 0:00,0,,2019-01-20,2019-02-04,2019-01-31,-4.0,Early,Retail,15,1235.26,11,20286.940540540538,0,0.0,1,32898.281818181815,0,0.0,0,0.0
612,1929259321.0,200900909,SYSCO corp,,2019,05/03/19,20190604,USD,20388.61,06/10/19 0:00,0,,2019-05-03,2019-06-04,2019-06-10,6.0,Late,AllSectors,32,20388.61,0,0.0,0,0.0,3,8314.429032258064,0,0.0,0,0.0
613,2960596611.0,140104429,COSTCO systems,,2019,11/28/19,20191210,CAD,4871.52,12/09/19 0:00,0,,2019-11-28,2019-12-10,2019-12-09,-1.0,Early,AllSectors,12,3556.2096,1,87761.91818181818,0,0.0,6,42678.29180327869,0,0.0,0,0.0
614,1991822515.0,140101904,SIGMA AL us,,2019,02/05/19,20190307,USD,43191.66,02/07/19 0:00,0,,2019-02-05,2019-03-07,2019-02-07,-28.0,Early,AllSectors,30,43191.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
615,1928686953.0,200803720,DEC systems,,2019,1/26/19,20190208,USD,14879.66,02/01/19 0:00,0,,2019-01-26,2019-02-08,2019-02-01,-7.0,Early,AllSectors,13,14879.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
616,2960534618.0,140104340,COLABOR  ,,2019,3/13/19,20190324,CAD,6779.1,05/02/19 0:00,0,,2019-03-13,2019-03-24,2019-05-02,39.0,VeryLate,AllSectors,11,4948.743,0,0.0,0,0.0,1,3480.6454545454544,0,0.0,0,0.0
618,1930164883.0,200230690,DECA corp,,2019,11/19/19,20191123,USD,2279.05,11/21/19 0:00,0,,2019-11-19,2019-11-23,2019-11-21,-2.0,Early,AllSectors,4,2279.05,4,6434.802439024392,0,0.0,2,2261.8238095238094,0,0.0,0,0.0
621,1928959886.0,200707822,PUBLI ,,2019,3/16/19,20190331,USD,80350.75,04/01/19 0:00,0,,2019-03-16,2019-03-31,2019-04-01,1.0,Late,AllSectors,15,80350.75,0,0.0,0,0.0,2,53814.376190476185,0,0.0,0,0.0
622,1930450588.0,200661137,AFFI associates,,2020,1/28/20,20200212,USD,16091.15,02/07/20 0:00,0,,2020-01-28,2020-02-12,2020-02-07,-5.0,Early,AllSectors,15,16091.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
623,1929829797.0,200792200,APPE associates,,2019,09/04/19,20190919,USD,1191.92,9/23/19 0:00,0,,2019-09-04,2019-09-19,2019-09-23,4.0,Late,AllSectors,15,1191.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
624,1929938668.0,200769623,WAL-MAR ,Retail,2019,9/29/19,20191014,USD,1897.5,10/11/19 0:00,0,,2019-09-29,2019-10-14,2019-10-11,-3.0,Early,Retail,15,1897.5,109,24251.933822181476,1,11085.927272727273,19,22865.912565445025,1,791.8272727272727,0,0.0
626,1928675163.0,200769623,WAL-MAR trust,Retail,2019,1/23/19,20190207,USD,871.01,05/08/19 0:00,0,,2019-01-23,2019-02-07,2019-05-08,90.0,VeryLate,Retail,15,871.01,12,18712.421487603304,0,0.0,1,32898.281818181815,0,0.0,0,0.0
628,1929529483.0,200769623,WAL-MAR corporation,Retail,2019,6/22/19,20190707,USD,47291.41,07/09/19 0:00,0,,2019-06-22,2019-07-07,2019-07-09,2.0,Late,Retail,15,47291.41,71,20287.749226441625,1,11085.927272727273,13,20056.141221374048,1,791.8272727272727,0,0.0
630,1928886271.0,200790710,F corporation,,2019,03/07/19,20190408,USD,10302.08,04/09/19 0:00,0,,2019-03-07,2019-04-08,2019-04-09,1.0,Late,AllSectors,32,10302.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
631,1930506320.0,200792283,SYSCO  associates,,2020,02/10/20,20200225,USD,38294.27,2/26/20 0:00,0,,2020-02-10,2020-02-25,2020-02-26,1.0,Late,AllSectors,15,38294.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
632,1929103763.0,200472086,CONSUMER foundation,,2019,04/11/19,20190426,USD,43056.57,4/24/19 0:00,0,,2019-04-11,2019-04-26,2019-04-24,-2.0,Early,AllSectors,15,43056.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
634,2960592167.0,140104340,COLABOR  corporation,,2019,11/10/19,20191122,CAD,113594.29,11/21/19 0:00,0,,2019-11-10,2019-11-22,2019-11-21,-1.0,Early,AllSectors,12,82923.8317,3,10625.464516129032,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0
635,1928786868.0,200769623,WAL-MAR associates,Retail,2019,2/13/19,20190228,USD,1355.27,2/25/19 0:00,0,,2019-02-13,2019-02-28,2019-02-25,-3.0,Early,Retail,15,1355.27,20,16006.359701492534,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0
636,1929000368.0,200772670,ASSOCIAT corporation,,2019,3/22/19,20190406,USD,76933.62,04/04/19 0:00,0,,2019-03-22,2019-04-06,2019-04-04,-2.0,Early,AllSectors,15,76933.62,2,45506.028571428564,1,24573.22727272727,1,41955.163636363635,0,0.0,0,0.0
637,1929014401.0,100021540,MASTER us,,2019,3/24/19,20190403,USD,2714.35,04/03/19 0:00,0,,2019-03-24,2019-04-03,2019-04-03,0.0,OnTime,AllSectors,10,2714.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
638,1929136084.0,200726979,BJ'S  llc,,2019,4/13/19,20190428,USD,544.42,4/29/19 0:00,0,,2019-04-13,2019-04-28,2019-04-29,1.0,Late,AllSectors,15,544.42,0,0.0,3,32735.135483870967,5,16873.511764705883,0,0.0,0,0.0
639,2960584907.0,140104240,FEDER us,,2019,10/04/19,20191023,CAD,170156.62,10/23/19 0:00,0,,2019-10-04,2019-10-23,2019-10-23,0.0,OnTime,AllSectors,19,124214.3326,0,0.0,0,0.0,1,135484.9090909091,0,0.0,0,0.0
640,1929719386.0,200761734,H E BUT trust,,2019,08/09/19,20190824,USD,1584.8,8/23/19 0:00,0,,2019-08-09,2019-08-24,2019-08-23,-1.0,Early,AllSectors,15,1584.8,4,42596.3024390244,0,0.0,2,22615.490476190476,0,0.0,0,0.0
641,1928676836.0,200780383,MEIJ corporation,,2019,1/24/19,20190208,USD,18495.86,02/08/19 0:00,0,,2019-01-24,2019-02-08,2019-02-08,0.0,OnTime,AllSectors,15,18495.86,0,0.0,0,0.0,1,42249.53636363636,0,0.0,0,0.0
642,1928870382.0,200769623,WAL-MAR in,Retail,2019,2/28/19,20190315,USD,19557.41,03/12/19 0:00,0,,2019-02-28,2019-03-15,2019-03-12,-3.0,Early,Retail,15,19557.41,25,15567.849003984062,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0
643,1928855969.0,200331749,SYSC trust,,2019,2/27/19,20190314,USD,3711.48,3/15/19 0:00,0,,2019-02-27,2019-03-14,2019-03-15,1.0,Late,AllSectors,15,3711.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
646,1929232165.0,200759082,INGL ,,2019,4/30/19,20190515,USD,135078.23,5/16/19 0:00,0,,2019-04-30,2019-05-15,2019-05-16,1.0,Late,AllSectors,15,135078.23,0,0.0,0,0.0,1,65175.67272727273,0,0.0,0,0.0
647,1929559145.0,200769623,WAL-MAR foundation,Retail,2019,6/29/19,20190714,USD,12731.68,07/10/19 0:00,0,,2019-06-29,2019-07-14,2019-07-10,-4.0,Early,Retail,15,12731.68,74,21987.180701754387,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
648,1929113766.0,200764795,SYSCO  us,,2019,04/11/19,20190426,USD,28860.44,4/29/19 0:00,0,,2019-04-11,2019-04-26,2019-04-29,3.0,Late,AllSectors,15,28860.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
651,1929716709.0,200769623,WAL-MAR associates,Retail,2019,08/09/19,20190824,USD,50578.05,8/20/19 0:00,0,,2019-08-09,2019-08-24,2019-08-20,-4.0,Early,Retail,15,50578.05,91,22568.825027442366,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
652,1929789825.0,200769623,WAL-MAR systems,Retail,2019,8/26/19,20190910,USD,16282.38,09/05/19 0:00,0,,2019-08-26,2019-09-10,2019-09-05,-5.0,Early,Retail,15,16282.38,102,23952.592850146906,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
653,1990566718.0,200816950,COLOM corporation,,2019,04/08/19,20190508,USD,70142.76,06/12/19 0:00,0,,2019-04-08,2019-05-08,2019-06-12,35.0,VeryLate,AllSectors,30,70142.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
654,1929405493.0,200714710,SYSCO  co,,2019,5/31/19,20190615,USD,48.74,6/21/19 0:00,0,,2019-05-31,2019-06-15,2019-06-21,6.0,Late,AllSectors,15,48.74,1,43477.990909090906,0,0.0,2,18062.509523809524,0,0.0,0,0.0
655,1929352250.0,200705372,FR trust,,2019,5/22/19,20190606,USD,5323.59,06/06/19 0:00,0,,2019-05-22,2019-06-06,2019-06-06,0.0,OnTime,AllSectors,15,5323.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
656,1930261668.0,200769623,WAL-MAR systems,Retail,2019,12/10/19,20191225,USD,10203.2,12/23/19 0:00,0,,2019-12-10,2019-12-25,2019-12-23,-2.0,Early,Retail,15,10203.2,151,23978.95757776306,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
657,1930169172.0,200726979,BJ'S  ,,2019,11/19/19,20191204,USD,728.01,12/04/19 0:00,0,,2019-11-19,2019-12-04,2019-12-04,0.0,OnTime,AllSectors,15,728.01,0,0.0,19,6571.456020942409,18,10693.99447513812,0,0.0,0,0.0
659,1929968052.0,200759878,SA systems,,2019,10/05/19,20191020,USD,20282.98,10/21/19 0:00,0,,2019-10-05,2019-10-20,2019-10-21,1.0,Late,AllSectors,15,20282.98,0,0.0,6,53266.14262295082,15,36140.42649006623,0,0.0,0,0.0
660,1929740014.0,200726979,BJ'S  ,,2019,8/15/19,20190830,USD,9222.81,8/30/19 0:00,0,,2019-08-15,2019-08-30,2019-08-30,0.0,OnTime,AllSectors,15,9222.81,0,0.0,14,8090.690780141845,14,13500.89574468085,0,0.0,0,0.0
661,1929790899.0,200772670,ASSOCIAT trust,,2019,8/25/19,20190909,USD,15839.46,09/09/19 0:00,0,,2019-08-25,2019-09-09,2019-09-09,0.0,OnTime,AllSectors,15,15839.46,3,55643.96129032257,2,36956.57619047619,9,44669.94065934066,0,0.0,0,0.0
663,1929298487.0,200726979,BJ'S  in,,2019,05/12/19,20190527,USD,158.23,5/28/19 0:00,0,,2019-05-12,2019-05-27,2019-05-28,1.0,Late,AllSectors,15,158.23,0,0.0,4,27000.421951219512,7,12219.015492957746,0,0.0,0,0.0
664,2960603889.0,140104409,LOB co,,2020,01/12/20,20200131,CAD,88433.88,1/31/20 0:00,0,,2020-01-12,2020-01-31,2020-01-31,0.0,OnTime,AllSectors,19,64556.7324,0,0.0,0,0.0,3,180017.18064516128,0,0.0,0,0.0
666,2960529816.0,140106271,LONGO  trust,,2019,2/19/19,20190302,CAD,159967.24,03/06/19 0:00,0,,2019-02-19,2019-03-02,2019-03-06,4.0,Late,AllSectors,11,116776.08519999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
667,1929687143.0,200759878,SA co,,2019,08/02/19,20190817,USD,39664.91,8/19/19 0:00,0,,2019-08-02,2019-08-17,2019-08-19,2.0,Late,AllSectors,15,39664.91,0,0.0,4,67404.30731707318,11,35788.36576576577,0,0.0,0,0.0
670,1928737178.0,200706844,WINC associates,,2019,02/06/19,20190221,USD,822.03,2/22/19 0:00,0,,2019-02-06,2019-02-21,2019-02-22,1.0,Late,AllSectors,15,822.03,0,0.0,0,0.0,0,0.0,1,524.4363636363636,0,0.0
671,1930465764.0,200704045,RA associates,,2020,1/31/20,20200215,USD,38128.47,2/18/20 0:00,0,,2020-01-31,2020-02-15,2020-02-18,3.0,Late,AllSectors,15,38128.47,0,0.0,2,26819.185714285715,2,13255.038095238095,0,0.0,0,0.0
674,1929058774.0,200752302,KROGER corp,,2019,3/31/19,20190415,USD,93149.86,4/15/19 0:00,0,,2019-03-31,2019-04-15,2019-04-15,0.0,OnTime,AllSectors,15,93149.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
676,1929574004.0,200793513,KROGER foundation,,2019,07/03/19,20190718,USD,2779.34,7/18/19 0:00,0,,2019-07-03,2019-07-18,2019-07-18,0.0,OnTime,AllSectors,15,2779.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
677,1929928111.0,200786288,FAMILY systems,,2019,9/27/19,20191012,USD,86572.76,10/11/19 0:00,0,,2019-09-27,2019-10-12,2019-10-11,-1.0,Early,AllSectors,15,86572.76,1,9128.127272727272,0,0.0,0,0.0,0,0.0,0,0.0
678,1930268849.0,200769623,WAL-MAR systems,Retail,2019,12/11/19,20191226,USD,471.56,12/23/19 0:00,0,,2019-12-11,2019-12-26,2019-12-23,-3.0,Early,Retail,15,471.56,154,23671.708371187535,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
679,1930070263.0,CCU013,KRAFT F co,,2019,10/12/19,20191012,USD,113248.8,11/27/19 0:00,0,,2019-10-12,2019-10-12,2019-11-27,46.0,VeryLate,AllSectors,0,113248.8,0,0.0,0,0.0,0,0.0,3,29788.412903225802,0,0.0
680,1929154069.0,100031704,DELHAIZE systems,,2019,4/16/19,20190501,USD,23699.69,05/01/19 0:00,0,,2019-04-16,2019-05-01,2019-05-01,0.0,OnTime,AllSectors,15,23699.69,1,54502.93636363636,1,581.8181818181818,2,26661.87619047619,0,0.0,0,0.0
683,1929945835.0,200769623,WAL-MAR in,Retail,2019,10/03/19,20191018,USD,44409.01,10/15/19 0:00,0,,2019-10-03,2019-10-18,2019-10-15,-3.0,Early,Retail,15,44409.01,115,23393.505299739347,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0
684,1929071943.0,200759878,SA us,,2019,04/04/19,20190419,USD,14135.58,4/22/19 0:00,0,,2019-04-04,2019-04-19,2019-04-22,3.0,Late,AllSectors,15,14135.58,0,0.0,1,57069.42727272727,6,29044.685245901637,0,0.0,0,0.0
686,1929770214.0,200769623,WAL-MAR foundation,Retail,2019,8/21/19,20190905,USD,70114.05,09/03/19 0:00,0,,2019-08-21,2019-09-05,2019-09-03,-2.0,Early,Retail,15,70114.05,97,23450.63048403707,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
689,2960537073.0,140104429,COSTCO systems,,2019,3/26/19,20190405,CAD,46316.04,04/08/19 0:00,0,,2019-03-26,2019-04-05,2019-04-08,3.0,Late,AllSectors,10,33810.7092,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
690,1930135874.0,200789077,US  llc,,2019,11/11/19,20191201,USD,48057.12,12/02/19 0:00,0,,2019-11-11,2019-12-01,2019-12-02,1.0,Late,AllSectors,20,48057.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
691,1929386148.0,200762301,C&S WH systems,,2019,5/28/19,20190612,USD,83492.85,06/12/19 0:00,0,,2019-05-28,2019-06-12,2019-06-12,0.0,OnTime,AllSectors,15,83492.85,1,26.027272727272724,3,42789.11612903226,3,29862.364516129033,0,0.0,0,0.0
692,1929637651.0,200416837,DEC us,,2019,7/19/19,20190808,USD,3466.86,08/01/19 0:00,0,,2019-07-19,2019-08-08,2019-08-01,-7.0,Early,AllSectors,20,3466.86,2,486.08571428571423,0,0.0,1,18961.081818181814,0,0.0,0,0.0
693,1929239105.0,200721222,GO ,,2019,05/01/19,20190516,USD,28327.91,5/22/19 0:00,0,,2019-05-01,2019-05-16,2019-05-22,6.0,Late,AllSectors,15,28327.91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
694,1929710601.0,200726979,BJ'S  systems,,2019,08/06/19,20190821,USD,995.02,8/21/19 0:00,0,,2019-08-06,2019-08-21,2019-08-21,0.0,OnTime,AllSectors,15,995.02,0,0.0,13,8632.34503816794,14,13500.89574468085,0,0.0,0,0.0
695,1929422634.0,100047471,ALL co,,2019,06/03/19,20190613,USD,8587.2,6/13/19 0:00,0,,2019-06-03,2019-06-13,2019-06-13,0.0,OnTime,AllSectors,10,8587.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
696,1930013944.0,200781803,JRD in,,2019,10/16/19,20191031,USD,12028.76,10/31/19 0:00,0,,2019-10-16,2019-10-31,2019-10-31,0.0,OnTime,AllSectors,15,12028.76,0,0.0,2,6128.128571428571,0,0.0,0,0.0,0,0.0
697,1929451539.0,200769623,WAL-MAR in,Retail,2019,06/08/19,20190623,USD,7837.29,6/18/19 0:00,0,,2019-06-08,2019-06-23,2019-06-18,-5.0,Early,Retail,15,7837.29,64,20198.09906396256,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0
699,1930554549.0,200759878,SA corporation,,2020,2/22/20,20200308,USD,32198.4,03/10/20 0:00,0,,2020-02-22,2020-03-08,2020-03-10,2.0,Late,AllSectors,15,32198.4,1,112770.3818181818,6,53266.14262295082,23,34437.289610389606,0,0.0,0,0.0
700,1929755281.0,200769623,WAL-MAR systems,Retail,2019,8/18/19,20190902,USD,83318.45,8/28/19 0:00,0,,2019-08-18,2019-09-02,2019-08-28,-5.0,Early,Retail,15,83318.45,95,23008.8050473186,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
702,1930348204.0,200769623,WAL-MAR llc,Retail,2020,01/02/20,20200117,USD,47009.34,1/14/20 0:00,0,,2020-01-02,2020-01-17,2020-01-14,-3.0,Early,Retail,15,47009.34,161,23417.04767225325,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
705,1928545537.0,200126819,MCLANE foundation,,2019,01/04/19,20190119,USD,35525.25,1/18/19 0:00,0,,2019-01-04,2019-01-19,2019-01-18,-1.0,Early,AllSectors,15,35525.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
706,1930040781.0,200778870,C in,,2019,10/22/19,20191106,USD,7414.98,11/25/19 0:00,0,,2019-10-22,2019-11-06,2019-11-25,19.0,Late,AllSectors,15,7414.98,0,0.0,0,0.0,3,46993.112903225796,0,0.0,0,0.0
707,1928683120.0,200769623,WAL-MAR systems,Retail,2019,1/26/19,20190210,USD,9031.16,02/12/19 0:00,0,,2019-01-26,2019-02-10,2019-02-12,2.0,Late,Retail,15,9031.16,13,20955.66641221374,0,0.0,3,30437.364516129033,1,791.8272727272727,0,0.0
708,1928845264.0,200780383,MEIJ llc,,2019,2/22/19,20190309,USD,74804.43,03/11/19 0:00,0,,2019-02-22,2019-03-09,2019-03-11,2.0,Late,AllSectors,15,74804.43,0,0.0,1,16814.418181818182,1,42249.53636363636,0,0.0,0,0.0
709,1930378185.0,100043936,PAPA JO llc,,2020,01/10/20,20200120,USD,18145.19,1/21/20 0:00,0,,2020-01-10,2020-01-20,2020-01-21,1.0,Late,AllSectors,10,18145.19,0,0.0,1,13660.30909090909,0,0.0,0,0.0,0,0.0
710,1930066534.0,100031704,DELHAIZE corp,,2019,10/30/19,20191114,USD,14029.84,11/19/19 0:00,0,,2019-10-30,2019-11-14,2019-11-19,5.0,Late,AllSectors,15,14029.84,2,52904.91904761905,2,11590.32857142857,2,26661.87619047619,0,0.0,0,0.0
711,1930209402.0,200553372,VITC in,,2019,12/02/19,20191217,USD,43441.4,12/17/19 0:00,0,,2019-12-02,2019-12-17,2019-12-17,0.0,OnTime,AllSectors,15,43441.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
712,1929670954.0,200778998,CE co,,2019,7/29/19,20190813,USD,4302.64,8/13/19 0:00,0,,2019-07-29,2019-08-13,2019-08-13,0.0,OnTime,AllSectors,15,4302.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
713,1929661135.0,200515231,US  ,,2019,7/24/19,20190808,USD,37441.9,08/12/19 0:00,0,,2019-07-24,2019-08-08,2019-08-12,4.0,Late,AllSectors,15,37441.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
715,1929169905.0,200416837,DEC us,,2019,4/18/19,20190509,USD,567.96,05/01/19 0:00,0,,2019-04-18,2019-05-09,2019-05-01,-8.0,Early,AllSectors,21,567.96,0,0.0,0,0.0,1,18961.081818181814,0,0.0,0,0.0
716,1929540328.0,200726979,BJ'S  co,,2019,6/25/19,20190710,USD,63.33,07/10/19 0:00,0,,2019-06-25,2019-07-10,2019-07-10,0.0,OnTime,AllSectors,15,63.33,0,0.0,9,12280.932967032968,12,8802.746280991736,0,0.0,0,0.0
717,1930248291.0,200769623,WAL-MAR foundation,Retail,2019,12/07/19,20191222,USD,42169.82,12/19/19 0:00,0,,2019-12-07,2019-12-22,2019-12-19,-3.0,Early,Retail,15,42169.82,146,23977.61950718685,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
718,1928690262.0,200466603,SMITH'S ,,2019,1/27/19,20190211,USD,124813.55,02/11/19 0:00,0,,2019-01-27,2019-02-11,2019-02-11,0.0,OnTime,AllSectors,15,124813.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
719,1929563872.0,200148860,DOLLA systems,,2019,07/02/19,20190717,USD,61733.75,7/18/19 0:00,0,,2019-07-02,2019-07-17,2019-07-18,1.0,Late,AllSectors,15,61733.75,0,0.0,1,16478.84545454545,0,0.0,0,0.0,0,0.0
720,1930462574.0,200769623,WAL-MAR llc,Retail,2020,02/02/20,20200217,USD,68612.73,2/18/20 0:00,0,,2020-02-02,2020-02-17,2020-02-18,1.0,Late,Retail,15,68612.73,177,23859.43083003952,1,11085.927272727273,34,23806.461290322575,1,791.8272727272727,0,0.0
721,1930323341.0,200229974,DARDEN D trust,,2020,12/29/19,20200113,USD,16907.37,02/05/20 0:00,0,,2019-12-29,2020-01-13,2020-02-05,23.0,Late,AllSectors,15,16907.37,1,20690.572727272727,0,0.0,0,0.0,0,0.0,0,0.0
724,1929558684.0,200726979,BJ'S  systems,,2019,07/02/19,20190717,USD,83649.87,7/18/19 0:00,0,,2019-07-02,2019-07-17,2019-07-18,1.0,Late,AllSectors,15,83649.87,0,0.0,11,10120.578378378379,12,8802.746280991736,0,0.0,0,0.0
725,1929649884.0,200759082,INGL corporation,,2019,7/22/19,20190806,USD,93120.58,08/08/19 0:00,0,,2019-07-22,2019-08-06,2019-08-08,2.0,Late,AllSectors,15,93120.58,0,0.0,0,0.0,2,98462.60476190477,0,0.0,0,0.0
726,1928680324.0,200781803,JRD in,,2019,1/24/19,20190213,USD,11148.0,2/13/19 0:00,0,,2019-01-24,2019-02-13,2019-02-13,0.0,OnTime,AllSectors,20,11148.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
727,1930050143.0,CCU013,KRAFT F in,,2019,10/25/19,20191025,USD,9117.6,11/27/19 0:00,0,,2019-10-25,2019-10-25,2019-11-27,33.0,VeryLate,AllSectors,0,9117.6,0,0.0,0,0.0,0,0.0,4,50144.60487804878,0,0.0
729,1929403329.0,200129450,NU ,,2019,5/30/19,20190629,USD,75652.09,07/09/19 0:00,0,,2019-05-30,2019-06-29,2019-07-09,10.0,Late,AllSectors,30,75652.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
730,1928551609.0,200748108,KROGER foundation,,2019,01/03/19,20190118,USD,123571.55,1/18/19 0:00,0,,2019-01-03,2019-01-18,2019-01-18,0.0,OnTime,AllSectors,15,123571.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
732,1929053312.0,200743123,KROGER associates,,2019,3/29/19,20190413,USD,50574.77,4/30/19 0:00,0,,2019-03-29,2019-04-13,2019-04-30,17.0,Late,AllSectors,15,50574.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
733,2960535830.0,140105686,SYSC trust,,2019,3/16/19,20190331,CAD,10374.15,04/04/19 0:00,0,,2019-03-16,2019-03-31,2019-04-04,4.0,Late,AllSectors,15,7573.129499999999,0,0.0,0,0.0,1,23073.045454545452,0,0.0,0,0.0
734,1930406612.0,200772670,ASSOCIAT us,,2020,1/16/20,20200131,USD,43105.4,1/31/20 0:00,0,,2020-01-16,2020-01-31,2020-01-31,0.0,OnTime,AllSectors,15,43105.4,3,55643.96129032257,4,23342.107317073172,14,42091.880851063834,0,0.0,0,0.0
735,1930262297.0,200936373,SUPE corporation,,2019,12/11/19,20191226,USD,53246.58,12/26/19 0:00,0,,2019-12-11,2019-12-26,2019-12-26,0.0,OnTime,AllSectors,15,53246.58,0,0.0,2,28117.819047619047,5,55681.73921568628,0,0.0,0,0.0
736,1928780028.0,200726979,BJ'S  llc,,2019,02/12/19,20190227,USD,233.63,03/01/19 0:00,0,,2019-02-12,2019-02-27,2019-03-01,2.0,Late,AllSectors,15,233.63,0,0.0,0,0.0,2,40062.85238095238,0,0.0,0,0.0
737,1928938206.0,200795490,HY -  in,,2019,03/09/19,20190324,USD,85745.12,3/26/19 0:00,0,,2019-03-09,2019-03-24,2019-03-26,2.0,Late,AllSectors,15,85745.12,0,0.0,0,0.0,1,86268.88181818182,0,0.0,0,0.0
738,1928884653.0,200687457,ARKANS associates,,2019,03/01/19,20190311,USD,7235.42,03/12/19 0:00,0,,2019-03-01,2019-03-11,2019-03-12,1.0,Late,AllSectors,10,7235.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
740,1929618899.0,200275115,SHAWS  corp,,2019,7/17/19,20190801,USD,13044.44,08/01/19 0:00,0,,2019-07-17,2019-08-01,2019-08-01,0.0,OnTime,AllSectors,15,13044.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
741,1929978528.0,200729942,SA co,,2019,10/07/19,20191022,USD,8931.94,10/21/19 0:00,0,,2019-10-07,2019-10-22,2019-10-21,-1.0,Early,AllSectors,15,8931.94,3,14240.109677419354,0,0.0,1,5183.290909090909,0,0.0,0,0.0
742,1928798696.0,200726979,BJ'S  corp,,2019,2/15/19,20190302,USD,868.89,03/04/19 0:00,0,,2019-02-15,2019-03-02,2019-03-04,2.0,Late,AllSectors,15,868.89,0,0.0,1,383.4363636363636,4,20777.07804878049,0,0.0,0,0.0
743,2960532290.0,140104229,A & W F ,,2019,03/05/19,20190316,CAD,3075.3,3/18/19 0:00,0,,2019-03-05,2019-03-16,2019-03-18,2.0,Late,AllSectors,11,2244.969,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
744,1928738609.0,200714710,SYSCO  foundation,,2019,02/05/19,20190225,USD,37050.19,2/26/19 0:00,0,,2019-02-05,2019-02-25,2019-02-26,1.0,Late,AllSectors,20,37050.19,1,43477.990909090906,0,0.0,1,800.9818181818182,0,0.0,0,0.0
746,1929406343.0,200782669,SYGMA us,,2019,5/30/19,20190614,USD,1084.89,6/17/19 0:00,0,,2019-05-30,2019-06-14,2019-06-17,3.0,Late,AllSectors,15,1084.89,0,0.0,0,0.0,3,19423.558064516128,0,0.0,0,0.0
