,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
147,15,26097.25,0,0.0,4,67404.30731707318,12,36108.741322314054,0,0.0,0,0.0,0
149,15,19190.96,0,0.0,0,0.0,1,47228.55454545454,0,0.0,0,0.0,0
150,1,7642.71,1,3725.681818181818,0,0.0,0,0.0,0,0.0,0,0.0,0
151,15,22759.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
152,15,1683.46,9,29237.481318681323,4,8064.297560975611,2,15912.309523809523,0,0.0,0,0.0,0
153,1,320.06,4,4547.639024390244,0,0.0,0,0.0,0,0.0,0,0.0,0
154,11,24471.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
155,15,7040.6,169,23786.472028385564,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
156,15,45235.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
157,15,13873.43,0,0.0,0,0.0,1,32017.60909090909,0,0.0,0,0.0,0
158,15,61001.54,3,55643.96129032257,1,24573.22727272727,4,57757.97317073171,0,0.0,0,0.0,0
159,15,17479.1,189,24005.209730301423,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0,2
160,15,28649.56,107,23934.431279178323,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
161,15,46474.49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
162,15,14516.79,0,0.0,0,0.0,1,32017.60909090909,0,0.0,0,0.0,0
163,15,16101.13,65,20008.224884792628,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
164,15,15258.5,0,0.0,0,0.0,3,37988.92258064516,0,0.0,0,0.0,0
165,15,69527.13,116,23574.517398794134,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
166,10,15026.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
167,15,83081.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
168,18,27.900599999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
169,15,20557.14,2,20499.290476190476,1,18688.30909090909,2,22460.428571428572,0,0.0,0,0.0,0
170,15,37071.97,3,22686.08387096774,0,0.0,7,33083.2014084507,0,0.0,0,0.0,0
171,15,13683.15,138,23955.917958001435,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
172,15,9481.83,0,0.0,0,0.0,1,685.3363636363636,0,0.0,0,0.0,0
173,15,344.27,0,0.0,21,6667.830805687203,20,9633.343781094527,0,0.0,0,0.0,0
174,15,2254.37,3,55643.96129032257,3,30144.603225806448,9,44669.94065934066,0,0.0,0,0.0,0
175,15,820.4,0,0.0,0,0.0,3,27214.716129032262,0,0.0,0,0.0,0
176,15,17231.53,1,54502.93636363636,0,0.0,0,0.0,0,0.0,0,0.0,0
177,15,1591.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
179,15,38899.31,0,0.0,6,53266.14262295082,22,34235.38823529411,0,0.0,0,0.0,0
180,17,4819.24,3,1447.625806451613,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
181,15,95073.2,0,0.0,1,8987.881818181817,1,13536.60909090909,0,0.0,0,0.0,0
182,20,13859.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
183,-2,20857.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
184,15,13768.73,0,0.0,6,53266.14262295082,21,35205.37203791468,0,0.0,0,0.0,0
185,15,82605.09,0,0.0,3,62629.354838709674,9,29989.127472527474,0,0.0,0,0.0,0
186,45,6377.39,0,0.0,0,0.0,0,0.0,2,14328.061904761904,0,0.0,0
187,10,42383.25,0,0.0,1,38537.545454545456,0,0.0,0,0.0,0,0.0,0
189,15,1735.16,109,24251.933822181476,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
190,15,475.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
191,15,58990.76,3,55643.96129032257,4,23342.107317073172,11,43213.38738738739,0,0.0,0,0.0,0
192,15,12591.43,139,23882.06628324945,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
194,15,48398.85,105,23926.142721217875,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
195,15,14752.57,125,23865.680255795356,1,11085.927272727273,22,25025.67285067873,1,791.8272727272727,0,0.0,2
196,40,8972.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
198,15,1686.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
201,15,22096.07,140,23720.48765167736,1,11085.927272727273,25,23626.40796812749,1,791.8272727272727,0,0.0,2
202,45,14278.48,0,0.0,0,0.0,0,0.0,1,14373.136363636364,0,0.0,0
204,15,7000.45,55,19069.42649727768,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
205,34,48806.26,4,3026.3414634146343,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0,0
206,15,29929.01,2,136292.6761904762,1,15927.381818181815,1,64644.43636363636,0,0.0,0,0.0,0
207,15,6681.26,12,36769.79421487603,6,17617.65081967213,5,19066.343137254906,0,0.0,0,0.0,0
