,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
691,15,83492.85,1,26.027272727272724,3,42789.11612903226,3,29862.364516129033,0,0.0,0,0.0,0
692,20,3466.86,2,486.08571428571423,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
693,15,28327.91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
694,15,995.02,0,0.0,13,8632.34503816794,14,13500.89574468085,0,0.0,0,0.0,0
695,10,8587.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
696,15,12028.76,0,0.0,2,6128.128571428571,0,0.0,0,0.0,0,0.0,0
697,15,7837.29,64,20198.09906396256,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
699,15,32198.4,1,112770.3818181818,6,53266.14262295082,23,34437.289610389606,0,0.0,0,0.0,0
700,15,83318.45,95,23008.8050473186,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
702,15,47009.34,161,23417.04767225325,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
705,15,35525.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
706,15,7414.98,0,0.0,0,0.0,3,46993.112903225796,0,0.0,0,0.0,0
707,15,9031.16,13,20955.66641221374,0,0.0,3,30437.364516129033,1,791.8272727272727,0,0.0,2
708,15,74804.43,0,0.0,1,16814.418181818182,1,42249.53636363636,0,0.0,0,0.0,0
709,10,18145.19,0,0.0,1,13660.30909090909,0,0.0,0,0.0,0,0.0,0
710,15,14029.84,2,52904.91904761905,2,11590.32857142857,2,26661.87619047619,0,0.0,0,0.0,0
711,15,43441.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
712,15,4302.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
713,15,37441.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
715,21,567.96,0,0.0,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
716,15,63.33,0,0.0,9,12280.932967032968,12,8802.746280991736,0,0.0,0,0.0,0
717,15,42169.82,146,23977.61950718685,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
718,15,124813.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
719,15,61733.75,0,0.0,1,16478.84545454545,0,0.0,0,0.0,0,0.0,0
720,15,68612.73,177,23859.43083003952,1,11085.927272727273,34,23806.461290322575,1,791.8272727272727,0,0.0,2
721,15,16907.37,1,20690.572727272727,0,0.0,0,0.0,0,0.0,0,0.0,0
724,15,83649.87,0,0.0,11,10120.578378378379,12,8802.746280991736,0,0.0,0,0.0,0
725,15,93120.58,0,0.0,0,0.0,2,98462.60476190477,0,0.0,0,0.0,0
726,20,11148.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
727,0,9117.6,0,0.0,0,0.0,0,0.0,4,50144.60487804878,0,0.0,0
729,30,75652.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
730,15,123571.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
732,15,50574.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
733,15,7573.129499999999,0,0.0,0,0.0,1,23073.045454545452,0,0.0,0,0.0,0
734,15,43105.4,3,55643.96129032257,4,23342.107317073172,14,42091.880851063834,0,0.0,0,0.0,0
735,15,53246.58,0,0.0,2,28117.819047619047,5,55681.73921568628,0,0.0,0,0.0,0
736,15,233.63,0,0.0,0,0.0,2,40062.85238095238,0,0.0,0,0.0,0
737,15,85745.12,0,0.0,0,0.0,1,86268.88181818182,0,0.0,0,0.0,0
738,10,7235.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
740,15,13044.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
741,15,8931.94,3,14240.109677419354,0,0.0,1,5183.290909090909,0,0.0,0,0.0,0
742,15,868.89,0,0.0,1,383.4363636363636,4,20777.07804878049,0,0.0,0,0.0,0
743,11,2244.969,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
744,20,37050.19,1,43477.990909090906,0,0.0,1,800.9818181818182,0,0.0,0,0.0,0
746,15,1084.89,0,0.0,0,0.0,3,19423.558064516128,0,0.0,0,0.0,0
748,15,14864.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
749,15,2342.0,0,0.0,2,11036.485714285714,0,0.0,0,0.0,0,0.0,0
750,15,6648.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
751,15,16286.18,49,20134.15274949084,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
752,35,18250.2,1,7003.636363636363,1,14768.30909090909,2,11413.409523809523,0,0.0,0,0.0,0
754,15,1481.01,179,23715.4688442211,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
755,15,13720.16,1,18813.98181818182,0,0.0,0,0.0,0,0.0,0,0.0,2
756,15,35052.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
757,15,54315.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
760,15,11990.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
761,15,36360.46,40,19641.400249376562,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
763,15,33.18,0,0.0,21,6667.830805687203,19,10135.970157068063,0,0.0,0,0.0,0
764,19,17.6149,0,0.0,0,0.0,1,34.74545454545454,0,0.0,0,0.0,0
765,15,9506.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
766,15,6891.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
767,15,19606.32,1,32295.681818181816,0,0.0,0,0.0,0,0.0,0,0.0,0
768,15,356.13,0,0.0,7,15656.470422535212,9,11593.056043956043,0,0.0,0,0.0,0
769,30,40865.79,0,0.0,0,0.0,0,0.0,1,10725.436363636363,0,0.0,0
770,15,5600.41,95,23008.8050473186,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
771,15,1074.15,145,23899.22839421088,1,11085.927272727273,28,25118.538434163696,1,791.8272727272727,0,0.0,2
772,15,57990.49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
773,75,1055.0,1,10306.645454545453,0,0.0,6,38333.7262295082,0,0.0,0,0.0,0
774,15,14776.32,0,0.0,1,16478.84545454545,1,56121.590909090904,0,0.0,0,0.0,0
775,20,44415.7331,0,0.0,0,0.0,6,130996.62295081968,0,0.0,0,0.0,0
776,15,17521.53,59,19679.76040609137,1,11085.927272727273,10,22460.567326732675,1,791.8272727272727,0,0.0,2
778,13,26398.0118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
779,15,31376.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
780,15,1066.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
781,15,51951.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
782,15,3895.98,4,12945.434146341464,1,707.6363636363635,1,5183.290909090909,0,0.0,0,0.0,0
783,20,17817.7,3,27439.399999999998,3,13657.106451612903,3,25472.81612903226,0,0.0,0,0.0,0
784,17,2813.28,2,7509.2095238095235,0,0.0,0,0.0,0,0.0,0,0.0,0
785,15,100889.17,0,0.0,1,383.4363636363636,5,16873.511764705883,0,0.0,0,0.0,0
786,65,1596.91,0,0.0,1,4839.627272727273,1,48742.127272727266,0,0.0,0,0.0,0
787,15,47397.91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
788,15,813.21,124,24051.437469782424,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
789,15,136.51,1,3320.3090909090906,1,103.15454545454544,0,0.0,0,0.0,0,0.0,0
790,15,93656.42,0,0.0,0,0.0,4,79876.83170731708,0,0.0,0,0.0,0
791,15,151747.67,0,0.0,4,39590.6756097561,5,39488.86078431372,0,0.0,0,0.0,0
792,12,19461.836499999998,0,0.0,0,0.0,1,30475.454545454544,0,0.0,0,0.0,0
793,15,15363.53,146,23977.61950718685,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
794,15,15975.71,7,20413.915492957745,0,0.0,0,0.0,0,0.0,0,0.0,2
795,15,38842.72,0,0.0,1,16814.418181818182,2,57751.866666666654,0,0.0,0,0.0,0
796,15,57816.02,117,23966.939368061478,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
797,15,20465.05,17,17571.60350877193,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
798,4,9316.78,6,3157.3836065573773,0,0.0,0,0.0,0,0.0,0,0.0,0
799,15,471.56,18,17731.462430939224,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
800,15,106995.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
801,15,21239.7,0,0.0,1,57069.42727272727,7,26944.811267605637,0,0.0,0,0.0,0
802,15,66918.46,3,55643.96129032257,1,24573.22727272727,3,54802.977419354844,0,0.0,0,0.0,0
803,15,120252.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
804,15,23137.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
805,15,728.02,0,0.0,0,0.0,2,34595.876190476185,0,0.0,0,0.0,0
808,35,7704.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
809,20,107.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
810,45,10700.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
811,15,22952.87,1,5557.263636363636,0,0.0,2,30588.90952380952,0,0.0,0,0.0,0
813,15,2274.48,0,0.0,1,39251.64545454545,1,2353.3181818181815,0,0.0,0,0.0,0
814,15,61618.82,0,0.0,1,107064.54545454544,5,82578.71176470589,1,9044.581818181818,0,0.0,0
815,35,7214.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
816,-5,11797.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
817,15,18025.63,35,18903.932478632476,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
818,15,14194.81,22,16581.6407239819,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
819,15,46232.17,1,10306.645454545453,0,0.0,5,36785.01176470588,0,0.0,0,0.0,0
820,15,2351.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
822,15,42399.7,0,0.0,4,78207.83902439025,5,82578.71176470589,1,9044.581818181818,0,0.0,0
823,15,19164.44,90,22606.609544950054,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
824,13,27.0,5,6862.082352941177,0,0.0,0,0.0,0,0.0,0,0.0,0
825,15,374.54,1,128.0090909090909,1,701.4727272727272,0,0.0,0,0.0,0,0.0,0
826,15,2378.02,0,0.0,2,5180.261904761905,0,0.0,0,0.0,0,0.0,0
827,15,136843.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
828,16,62843.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
831,15,8001.57,0,0.0,1,18688.30909090909,0,0.0,0,0.0,0,0.0,0
833,15,17940.4,0,0.0,0,0.0,2,20129.82380952381,0,0.0,0,0.0,0
834,10,1594.466,0,0.0,0,0.0,7,49131.916901408455,0,0.0,0,0.0,0
835,13,889.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
836,15,77915.7,0,0.0,6,53266.14262295082,20,33080.48009950248,0,0.0,0,0.0,0
837,15,46934.33,8,23848.241975308643,4,12959.068292682929,5,19066.343137254906,0,0.0,0,0.0,0
838,15,155.68,0,0.0,4,27000.421951219512,6,14196.611475409838,0,0.0,0,0.0,0
839,15,3629.22,45,20738.792682926836,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0,2
840,15,43176.81,0,0.0,0,0.0,1,2353.3181818181815,0,0.0,0,0.0,0
843,40,11859.28,1,128.0090909090909,2,545.7904761904762,0,0.0,0,0.0,0,0.0,0
844,15,10162.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
846,7,22732.45,3,1177.4967741935484,0,0.0,2,2261.8238095238094,0,0.0,0,0.0,0
847,0,263.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
848,15,48583.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
849,15,44840.54,10,29876.434653465345,6,17617.65081967213,5,19066.343137254906,0,0.0,0,0.0,0
850,15,36180.8,2,28771.647619047617,0,0.0,0,0.0,0,0.0,0,0.0,0
852,15,15.42,0,0.0,15,8165.665562913908,14,13500.89574468085,0,0.0,0,0.0,0
853,15,134134.07,0,0.0,0,0.0,3,62374.49677419355,0,0.0,0,0.0,0
855,15,33032.12,0,0.0,0,0.0,1,35447.00909090909,0,0.0,0,0.0,0
856,15,739.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
857,15,6803.07,177,23859.43083003952,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
858,15,25729.19,0,0.0,2,47470.27619047619,0,0.0,0,0.0,0,0.0,0
859,15,136578.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
860,15,7921.21,102,23952.592850146906,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
861,15,74648.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
862,15,71480.75,32,15711.473831775696,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
863,15,67907.14,0,0.0,4,67404.30731707318,13,35344.50534351145,0,0.0,0,0.0,0
864,15,1572.26,1,3206.8454545454547,2,2278.461904761905,1,342.1363636363636,0,0.0,0,0.0,0
865,15,15505.86,182,23813.863207029106,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
868,15,205.09,0,0.0,18,6913.839226519338,17,11307.380701754386,0,0.0,0,0.0,0
870,15,5164.92,14,19626.447517730496,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
871,11,22943.0459,0,0.0,0,0.0,1,42105.490909090906,0,0.0,0,0.0,0
873,15,165.03,0,0.0,3,52308.62580645161,5,39488.86078431372,0,0.0,0,0.0,0
874,15,9836.64,23,16478.314718614714,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
875,15,46150.68,2,45506.028571428564,1,24573.22727272727,0,0.0,0,0.0,0,0.0,0
876,15,7625.11,130,24179.9960799385,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
877,15,2440.08,3,55643.96129032257,4,23342.107317073172,12,44517.30247933885,0,0.0,0,0.0,0
878,35,19440.0,1,7003.636363636363,1,14768.30909090909,3,13618.825806451612,0,0.0,0,0.0,0
879,15,52290.82,71,20287.749226441625,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
880,15,32652.69,145,23899.22839421088,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0,2
881,15,1143.91,20,16006.359701492534,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
882,15,10153.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
883,15,13905.36,0,0.0,6,53266.14262295082,19,34084.413089005226,0,0.0,0,0.0,0
884,15,33132.17,169,23786.472028385564,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
885,15,14486.57,3,55643.96129032257,4,23342.107317073172,10,46057.62673267326,0,0.0,0,0.0,0
886,15,14448.41,0,0.0,19,6571.456020942409,18,10693.99447513812,0,0.0,0,0.0,0
887,15,33795.12,2,4928.200000000001,0,0.0,1,5183.290909090909,0,0.0,0,0.0,0
888,15,40101.2,0,0.0,2,28117.819047619047,2,52363.55714285714,0,0.0,0,0.0,0
890,35,59586.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
891,15,29604.62,1,16228.636363636362,0,0.0,0,0.0,0,0.0,0,0.0,1
892,15,38105.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
893,10,809.7306,0,0.0,0,0.0,3,33457.48709677419,0,0.0,0,0.0,0
895,45,7927.73,0,0.0,0,0.0,1,20037.78181818182,1,9727.372727272726,0,0.0,0
896,11,12035.926099999999,0,0.0,0,0.0,3,46702.951612903234,0,0.0,0,0.0,0
897,15,11337.31,0,0.0,0,0.0,5,36785.01176470588,0,0.0,0,0.0,0
901,34,3652.34,0,0.0,1,103.15454545454544,0,0.0,0,0.0,0,0.0,0
902,15,727.71,0,0.0,0,0.0,1,747.3,1,524.4363636363636,0,0.0,0
903,15,16254.84,1,26.027272727272724,3,42789.11612903226,1,1072.790909090909,0,0.0,0,0.0,0
906,15,13664.07,67,19707.681222056635,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
907,15,90635.92,3,55643.96129032257,2,36956.57619047619,6,49102.45573770492,0,0.0,0,0.0,0
908,15,334.3,0,0.0,15,8165.665562913908,16,11872.334161490684,0,0.0,0,0.0,0
909,45,4329.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
910,10,41395.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
912,15,33450.91,0,0.0,0,0.0,1,12599.427272727273,0,0.0,0,0.0,0
913,15,30673.55,0,0.0,1,4275.20909090909,5,15190.794117647061,0,0.0,0,0.0,0
914,15,6836.12,3,22686.08387096774,0,0.0,9,31373.176923076928,0,0.0,0,0.0,0
915,10,178855.6794,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
917,15,53858.83,108,23978.04949121183,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
919,10,62205.86229999999,0,0.0,0,0.0,8,43335.90246913581,0,0.0,0,0.0,0
920,15,60353.2,0,0.0,3,62629.354838709674,8,26240.476543209876,0,0.0,0,0.0,0
921,35,13691.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
922,15,35352.17,145,23899.22839421088,1,11085.927272727273,28,25118.538434163696,1,791.8272727272727,0,0.0,2
923,32,2082.1,2,3149.004761904762,3,8635.535483870968,1,10420.172727272728,0,0.0,0,0.0,0
925,15,13512.08,0,0.0,0,0.0,1,26145.954545454544,0,0.0,0,0.0,0
926,15,27839.82,0,0.0,3,15397.458064516128,0,0.0,0,0.0,0,0.0,0
927,15,25499.04,0,0.0,0,0.0,1,7027.809090909091,0,0.0,0,0.0,0
928,15,8917.91,80,22223.12147315855,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
929,15,86200.93,0,0.0,1,169.24545454545452,2,38100.79047619048,0,0.0,0,0.0,0
930,15,29541.96,59,19679.76040609137,1,11085.927272727273,9,21682.39230769231,1,791.8272727272727,0,0.0,2
931,16,43.08,8,2449.21975308642,0,0.0,2,13156.695238095237,0,0.0,0,0.0,0
932,15,55611.36,0,0.0,0,0.0,2,86019.47142857143,0,0.0,0,0.0,0
934,15,52804.65,78,22200.330217669652,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
935,20,4098.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
936,15,10104.04,0,0.0,1,18688.30909090909,1,7274.154545454545,0,0.0,0,0.0,0
937,15,43253.5,0,0.0,0,0.0,1,26236.763636363634,0,0.0,0,0.0,0
938,5,452.82,1,516.3272727272728,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
939,11,130911.3526,3,123594.56129032258,0,0.0,0,0.0,0,0.0,0,0.0,0
940,15,71128.23,126,23793.411340206178,1,11085.927272727273,22,25025.67285067873,1,791.8272727272727,0,0.0,2
941,15,17662.12,70,20325.204707560628,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
942,65,6112.99,0,0.0,0,0.0,1,9239.063636363635,0,0.0,0,0.0,0
943,11,22538.822999999997,0,0.0,0,0.0,2,28658.595238095237,0,0.0,0,0.0,0
945,15,33520.3,3,55643.96129032257,5,27217.262745098044,16,43882.92049689441,0,0.0,0,0.0,0
946,15,32260.93,165,23635.06511205329,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
947,15,39165.33,1,9185.49090909091,1,18688.30909090909,1,7274.154545454545,0,0.0,0,0.0,0
948,20,16156.49,0,0.0,0,0.0,2,8622.214285714286,0,0.0,0,0.0,0
949,20,3118.63,2,5590.9333333333325,0,0.0,0,0.0,0,0.0,0,0.0,0
950,3,16465.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
951,12,44193.032,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
953,15,21760.18,0,0.0,2,12367.590476190475,0,0.0,0,0.0,0,0.0,0
954,15,57558.02,82,22371.34275274056,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
955,15,19047.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
958,15,1897.5,44,21166.0328798186,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
959,20,106.56,2,1687.4666666666665,0,0.0,2,2261.8238095238094,0,0.0,0,0.0,0
960,15,38160.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
961,15,14368.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
962,15,15791.12,0,0.0,2,13921.485714285714,1,13062.6,0,0.0,0,0.0,0
963,15,2725.63,52,19597.134357005765,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
964,65,640.0,1,54502.93636363636,0,0.0,1,15665.02727272727,0,0.0,0,0.0,0
965,65,298.33,0,0.0,0,0.0,1,1086.7272727272727,0,0.0,0,0.0,0
966,15,683.91,146,23977.61950718685,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
967,15,50383.76,0,0.0,1,79109.7,1,81340.2,0,0.0,0,0.0,0
968,15,30927.52,76,22209.087647831802,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
969,11,824.3816999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
970,10,116125.8158,0,0.0,0,0.0,1,1026.6272727272726,0,0.0,0,0.0,0
971,30,15842.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
972,15,1367.02,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
974,15,138997.94,0,0.0,1,39251.64545454545,4,40943.96585365854,0,0.0,0,0.0,0
975,15,1273.44,78,22200.330217669652,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
976,15,40127.37,121,24177.987778695282,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
977,15,16962.09,2,11963.019047619047,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0,0
978,15,17745.75,0,0.0,0,0.0,1,100246.67272727271,0,0.0,0,0.0,0
979,15,1643.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
981,15,18759.49,0,0.0,0,0.0,4,41181.480487804874,0,0.0,0,0.0,0
982,35,7723.2,2,9910.714285714284,1,14768.30909090909,7,29772.023943661974,0,0.0,0,0.0,0
983,15,7251.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
984,15,420.0,0,0.0,0,0.0,1,7081.872727272727,0,0.0,0,0.0,0
986,15,65037.69,183,23768.4890770071,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
987,5,7622.26,3,10127.954838709677,0,0.0,1,1697.3818181818178,0,0.0,0,0.0,0
988,15,771.62,1,128.0090909090909,0,0.0,0,0.0,0,0.0,0,0.0,0
989,15,28743.91,7,23158.711267605635,4,12959.068292682929,5,19066.343137254906,0,0.0,0,0.0,0
992,15,524.31,0,0.0,9,12280.932967032968,9,11593.056043956043,0,0.0,0,0.0,0
993,17,286.7,5,2251.4392156862746,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
994,15,5123.95,47,20855.470912951172,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0,2
995,15,133776.12,0,0.0,2,28117.819047619047,2,52363.55714285714,0,0.0,0,0.0,0
997,45,8528.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
998,15,49946.74,0,0.0,2,68668.69523809524,8,26240.476543209876,0,0.0,0,0.0,0
1000,15,5137.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1001,15,8401.19,160,23510.838163647713,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1002,15,12738.78,0,0.0,1,44166.52727272727,0,0.0,0,0.0,0,0.0,0
1003,15,14800.28,0,0.0,4,67404.30731707318,14,37653.912056737594,0,0.0,0,0.0,0
1004,18,13007.358999999999,0,0.0,0,0.0,1,21863.627272727274,0,0.0,0,0.0,0
1005,15,103125.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1006,20,4994.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1007,11,22233.807099999998,1,296.7181818181818,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0,0
1008,15,98913.14,0,0.0,0,0.0,3,76210.40322580645,0,0.0,0,0.0,0
1009,15,28232.05,133,24056.053719008254,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
1010,15,17701.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1012,15,32441.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1013,30,38179.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1014,15,3804.56,0,0.0,0,0.0,4,37339.90975609756,0,0.0,0,0.0,0
1015,65,10040.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1016,19,1974.3069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1017,15,13524.16,0,0.0,6,53266.14262295082,17,35956.29181286549,0,0.0,0,0.0,0
1018,15,376.35,0,0.0,1,1533.3999999999999,0,0.0,0,0.0,0,0.0,0
1019,15,40960.18,3,16700.467741935485,0,0.0,3,12251.616129032258,0,0.0,0,0.0,0
1020,15,24862.11,1,39321.36363636363,0,0.0,2,15176.457142857142,0,0.0,0,0.0,0
1021,15,51855.63,100,23465.754145854142,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
1022,38,20600.892,0,0.0,0,0.0,1,28832.23636363636,0,0.0,0,0.0,0
1023,12,56843.0852,0,0.0,0,0.0,9,34045.23516483516,0,0.0,0,0.0,0
1024,11,142776.0572,0,0.0,0,0.0,6,25123.437704918033,0,0.0,0,0.0,0
1025,15,6786.5,1,2677.2454545454543,0,0.0,2,14395.371428571429,0,0.0,0,0.0,0
1026,15,71108.88,0,0.0,1,15927.381818181815,0,0.0,0,0.0,0,0.0,0
1027,0,9838.08,0,0.0,0,0.0,0,0.0,6,36315.03606557377,0,0.0,0
1028,15,60594.08,145,23899.22839421088,1,11085.927272727273,27,23809.477859778595,1,791.8272727272727,0,0.0,2
1029,15,1222.75,2,20499.290476190476,2,19578.22857142857,2,22460.428571428572,0,0.0,0,0.0,0
1030,15,18493.2,155,23522.126499032875,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
1031,15,27030.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1032,15,51770.21,0,0.0,1,57069.42727272727,5,24588.7,0,0.0,0,0.0,0
1033,15,18144.8,1,19145.945454545454,0,0.0,2,18940.390476190474,0,0.0,0,0.0,0
1035,11,65564.75289999999,0,0.0,0,0.0,7,27026.53661971831,0,0.0,0,0.0,0
1036,15,13586.4,0,0.0,0,0.0,1,5110.099999999999,0,0.0,0,0.0,0
1037,32,41397.26,5,12002.796078431373,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0,0
